SNID,CID,n_entries,mean_z,min_z,max_z,logMstar,mean_mu_resid,std_mu_resid,mean_H0_proxy,is_calibrator,used_in_shoes_hf,abs_mean_mu_resid,nearby_bonus,priority_score
020027,020027,1,0.11001,0.11001,0.11001,10.0054,0.1312170284307523,,63.4477887448374,0,1,0.1312170284307523,0.0,6.524868113723009
18650,18650,1,0.11259,0.11259,0.11259,8.53633,0.1284812687010497,,63.52777469944983,0,1,0.1284812687010497,0.0,6.513925074804199
2007ca,2007ca,3,0.01442,0.01442,0.01442,9.44451,0.3760725844849926,0.07931017168896466,56.707214280100544,0,0,0.3760725844849926,1.0,6.50429033793997
2008eq,2008eq,1,0.05728,0.05728,0.05728,10.1809,0.1255736053186123,,63.61289717652473,0,1,0.1255736053186123,0.0,6.502294421274449
PS16ccn,PS16ccn,1,0.02457,0.02457,0.02457,7.58621,0.1251089200402244,,63.62651150557644,0,1,0.1251089200402244,0.0,6.500435680160898
2001az,2001az,1,0.04101,0.04101,0.04101,10.239,0.1232201340811496,,63.68187907192932,0,1,0.1232201340811496,0.0,6.4928805363245985
SN2016ixf,SN2016ixf,1,0.06711,0.06711,0.06711,9.99601,0.121545250333325,,63.73101664714974,0,1,0.121545250333325,0.0,6.4861810013333
6057,6057,1,0.06654,0.06654,0.06654,9.52798,-0.1200623544156176,,71.23154552466539,0,1,0.1200623544156176,0.0,6.4802494176624705
2004bk,2004bk,1,0.02352,0.02352,0.02352,7.0,-0.1176463361055244,,71.15233613012154,0,1,0.1176463361055244,0.0,6.470585344422098
ASASSN-16hc,ASASSN-16hc,1,0.05151,0.05151,0.05151,10.7547,-0.1174013037144394,,71.14430764063286,0,1,0.1174013037144394,0.0,6.469605214857758
ASASSN-15nr,ASASSN-15nr,1,0.02344,0.02344,0.02344,9.88465,-0.1161177316985106,,71.10226618631607,0,1,0.1161177316985106,0.0,6.464470926794043
Gaia16agf,Gaia16agf,1,0.02509,0.02509,0.02509,8.65931,0.115587713683956,,63.90610576047799,0,1,0.115587713683956,0.0,6.462350854735824
19543,19543,1,0.12405,0.12405,0.12405,8.61533,0.1153337289609038,,63.91358092975607,0,1,0.1153337289609038,0.0,6.461334915843615
2008bq,2008bq,1,0.03166,0.03166,0.03166,10.9133,0.1126319457034892,,63.99315279665998,0,1,0.1126319457034892,0.0,6.450527782813957
1993B,1993B,1,0.07023,0.07023,0.07023,9.39781,-0.1111824203038853,,70.94084882287356,0,1,0.1111824203038853,0.0,6.4447296812155415
