t,a,z,H,sigma,C_sigma_base,rho_m,rho_r,C_sigma,G_esc,G_leak,Sdot_struct,source_gated,throughput_raw,rho_DE_flux,Omega_DE_flux,w_flux
0.0921521793032994,0.17947583315724278,4.5717807930379,7.250440166183153,4.999925264744099,0.9905885668087181,51.89234783236871,0.08673983608741018,0.6065922024387589,0.3934077975612411,0.9988626055319344,0.32764165651966365,0.1287501759933725,0.0033223429586082182,0.630951547178668,0.011992987585364889,-1.0021532339093824
0.0923247641226148,0.1797003463043124,4.564819548575363,7.237001713028812,4.999924984913139,0.9905533276119716,51.69809170389455,0.08630716540136225,0.6063132963878032,0.3936867036121968,0.9988739114579293,0.3288386505366005,0.12931362159813553,0.003344611905547806,0.6309566583676308,0.012037630042109079,-1.0021666553455664
0.09249766940934159,0.1799251403034186,4.557867001318658,7.223588743180229,4.999924704038524,0.9905179569875573,51.50456276247229,0.08587665293846715,0.6060349291518979,0.39396507084810206,0.9988851051262216,0.3300401536022359,0.12987932907945218,0.003367019821275042,0.6309618014528362,0.012082437214440024,-1.0021801567329287
0.09267089574471793,0.18015021550588928,4.550923140401734,7.210201209335762,4.9999244221165124,0.9904824544640335,51.31175828591803,0.08544828793320085,0.6057571002267498,0.3942428997732502,0.998896187648948,0.3312461848820963,0.13044730800415394,0.0033895675359464613,0.6309669766248225,0.01212740970068224,-1.0021937385467747
0.09284444371096083,0.18037557226349274,4.543987954972081,7.196839064283425,4.999924139143343,0.9904468195679451,51.1196755622374,0.08502205967373745,0.6054798090998211,0.39452019090017887,0.9989071601272766,0.3324567636049734,0.13101756797584146,0.0034122558846816017,0.630972184075267,0.012172548101276723,-1.0022074012651008
0.09301831389126669,0.1806012109284373,4.537061434190754,7.183502260900776,4.999923855115238,0.9904110518234883,50.92831188958826,0.0845979575016833,0.6052030552502041,0.3947969447497959,0.9989180236515137,0.3336719090618058,0.13159011863454262,0.003435085707591928,0.6309774239969929,0.012217853018787925,-1.0022211453687742
0.09319250686981179,0.180827131853371,4.530143567232375,7.170190752154807,4.999923570028403,0.990375150752846,50.737664576243446,0.084175970811812,0.6049268381488285,0.3950731618511715,0.9989287793012102,0.3348916406045323,0.13216496965624663,0.0034580578498098263,0.6309826965839758,0.01226332505791079,-1.002234971341314
0.09336702323175494,0.18105333539138382,4.523234343285062,7.156904491101658,4.999923283879024,0.9903391158757403,50.547730940551354,0.08375608905179585,0.604651157258276,0.395348842741724,0.9989394281452669,0.33611597764492385,0.13274213075255914,0.0034811731615179537,0.6309880020313503,0.012308964825478332,-1.0022488796690254
0.093541863563238,0.1812798218960076,4.5163337515504445,7.143643430886512,4.99992299666327,0.9903029467096567,50.358508310898934,0.08333830172194362,0.6043760120329333,0.39562398796706666,0.9989499712420379,0.3373449396533706,0.13332161167022447,0.003504432497978365,0.630993340535417,0.012354772930468725,-1.0022628708410555
0.09371702845138631,0.18150659172121542,4.509441781243667,7.130407524743485,4.999922708377293,0.990266642770067,50.16999402567504,0.08292259837493976,0.6041014019191443,0.3958985980808557,0.9989604096394352,0.33857854615763494,0.13390342219063267,0.003527836719561698,0.630998712293649,0.01240074998401235,-1.002276945349242
