z_leak,m,n,rho_floor_frac,lambda0,Omega_DE_0,Omega_DE_1090,w0,w_z1,w_z2,w_z3,hump_abs_z1_3,hump_signed_z2,score,pass_basic
7.0,7.0,2.0,0.9,0.39078752955537954,0.7000000000000001,1.2187283084634588e-09,-1.0234500363761703,-1.029508650036875,-1.0219749819965012,-1.0079233806326064,0.0298642950288297,-0.021974981996501164,0.2345003637617038,True
11.0,4.0,2.0,0.9,0.3908558108571475,0.7000000000000001,1.2187283084634588e-09,-1.023453011239598,-1.0294927132509375,-1.0219150050240864,-1.007888507109551,0.029839946131839268,-0.021915005024086387,0.23453011239598198,True
10.0,4.0,2.0,0.9,0.39129094698779654,0.7000000000000001,1.2187283084634588e-09,-1.0234786498697643,-1.0295177277785201,-1.0219054511999615,-1.0078577929340986,0.029861463779089492,-0.021905451199961457,0.23478649869764445,True
8.0,5.0,2.0,0.9,0.3912921281912975,0.7000000000000001,1.2187283084634588e-09,-1.0234799295696888,-1.0295344475704977,-1.02193744428281,-1.0078594187263687,0.029883273203021643,-0.02193744428280997,0.23479929569688918,True
7.0,6.0,2.0,0.9,0.3912960447423092,0.7000000000000001,1.2187283084634588e-09,-1.0234804735883944,-1.0295437144198678,-1.0219675226852418,-1.0078731928514417,0.029896556071254965,-0.021967522685241825,0.23480473588394557,True
6.0,8.0,2.0,0.9,0.3913968277007948,0.7000000000000001,1.2187283084634588e-09,-1.0234866073710662,-1.0295577398865245,-1.0220103356060393,-1.007909066126356,0.029914568146447662,-0.022010335606039266,0.23486607371066337,True
6.0,7.0,2.0,0.9,0.39187644349723993,0.7000000000000001,1.2187283084634588e-09,-1.0235153644354082,-1.0295926680256162,-1.0220060320766025,-1.0078530797314995,0.02994759173283046,-0.022006032076602455,0.2351536443540836,True
9.0,4.0,2.0,0.9,0.3919598193414847,0.7000000000000001,1.2187283084634588e-09,-1.0235180386790081,-1.029555750808799,-1.0218893264391513,-1.007809527090825,0.02989402282994047,-0.021889326439151313,0.23518038679008257,True
7.0,5.0,2.0,0.9,0.3923537404548909,0.7000000000000001,1.2187283084634588e-09,-1.0235433148460351,-1.0296060123316655,-1.0219292238018054,-1.007775644576675,0.02994919485420655,-0.021929223801805398,0.23543314846035224,True
6.0,6.0,2.0,0.9,0.39273205152139884,0.7000000000000001,1.2187283084634588e-09,-1.0235665369186633,-1.029649229308024,-1.0219797546162266,-1.0077574486274925,0.029997989873701725,-0.021979754616226588,0.23566536918663394,True
8.0,4.0,2.0,0.9,0.39302659161664,0.7000000000000001,1.2187283084634588e-09,-1.0235808100326014,-1.0296154337494947,-1.0218604728480951,-1.0077305254594944,0.029944703104462178,-0.021860472848095114,0.23580810032601485,True
6.0,5.0,2.0,0.9,0.3943888644190761,0.7000000000000001,1.2187283084634588e-09,-1.0236647505471075,-1.0297402520690393,-1.021897972085684,-1.007599368076473,0.030071244698746113,-0.021897972085684003,0.23664750547107594,True
