case,label,N,a,z,H,Omega_m,mu_eff,D_raw,D_norm,f,gamma,sigma8_z,fsigma8
C,C: Full Flux ledger,-0.7276340470730118,0.4830505139391987,1.070176867932842,1.8249011853980837,0.799217598525757,1.0123480432733623,0.4592028492440648,0.5905997566329793,0.888790150665379,0.5260264750712728,0.48368705564573006,0.429896291062262
C,C: Full Flux ledger,-0.7257872601515065,0.48394342956943887,1.0663572204910254,1.8208973596742413,0.798302580914329,1.0123484025402767,0.4599569741212946,0.5915696677946717,0.8882426366279593,0.5260869505659241,0.48448138965750054,0.430337026946556
C,C: Full Flux ledger,-0.7239404732300017,0.4848379957482234,1.0625446206144713,1.8169044276764197,0.7973838704906918,1.0123485456633068,0.46071187066680486,0.5925405714308215,0.8876929002661247,0.5261457343496619,0.4852765364820816,0.43077653610087885
C,C: Full Flux ledger,-0.7220936863084964,0.4857342155265805,1.0587390552998373,1.8129272796013585,0.7964625717857686,1.0123484686937552,0.4614675366971352,0.5935124647331902,0.8871408746579822,0.5262063640227717,0.48607249381959305,0.4312147773143004
C,C: Full Flux ledger,-0.720246899386991,0.48663209196117785,1.0549405115677764,1.8089615889966388,0.7955377151300221,1.0123481767770768,0.46222396997959325,0.5944853448302198,0.88658656235514,0.5262659811394532,0.4868692593182978,0.4316517429354028
C,C: Full Flux ledger,-0.7184001124654862,0.48753162811433304,1.0511489764628887,1.8050109835208417,0.7946101330800366,1.0123476671363345,0.4629811682660196,0.5954592088304594,0.8860299542173347,0.5263270203598475,0.4876668306101668,0.4320874195988388
C,C: Full Flux ledger,-0.7165533255439809,0.48843282705402513,1.0473644370536768,1.8010723909463169,0.7936791301915433,1.0123469437391073,0.4637391293048151,0.5964340538380347,0.8854710905018874,0.5263872522620348,0.4884652053235483,0.43252181803007067
C,C: Full Flux ledger,-0.714706538622476,0.48933569185390347,1.0435868804325046,1.7971481936283282,0.792745263317148,1.0123460050099267,0.46449785084738504,0.597409876960935,0.8849099660288776,0.5264482833395823,0.48926438108995474,0.4329549268494517
C,C: Full Flux ledger,-0.7128597517009707,0.49024022559329977,1.0398162937155502,1.7932365563965142,0.7918081149721359,1.012344853706764,0.4652573306253112,0.5983866752816537,0.8843465808820102,0.5265088948349923,0.4900643555200183,0.4333867372162741
C,C: Full Flux ledger,-0.7110129647794659,0.4911464313572372,1.0360526640427654,1.7893386333979644,0.7908679625763955,1.0123434894853323,0.46601756633339814,0.5993644458353838,0.8837808856915883,0.5265700967514014,0.49086512618563294,0.4338172159754519
C,C: Full Flux ledger,-0.7091661778579605,0.4920543122364422,1.0322959785778272,1.7854538094913865,0.7899246703376221,1.0123419138623206,0.46677855562658394,0.6003431856060445,0.8832128810382229,0.5266314752145126,0.49166669061670065,0.4342463543301048
C,C: Full Flux ledger,-0.7073193909364557,0.49296387132735375,1.0285462245080996,1.7815820275720304,0.7889782325161212,1.012340127754338,0.4675402961442972,0.6013228915576071,0.882642562045907,0.5266930148665656,0.4924690463267867,0.43467414077817945
C,C: Full Flux ledger,-0.7054726040149504,0.49387511173213533,1.0248033890445836,1.777723875637831,0.7880287987424422,1.0123381314051811,0.46830278552638377,0.60230356065458,0.8820699741221637,0.526754897123412,0.4932721908298962,0.43510058860050954
C,C: Full Flux ledger,-0.7036258170934451,0.4947880365586841,1.02106745942188,1.7738781021506014,0.7870760763932965,1.012335927022068,0.469066021413296,0.6032851898622514,0.8814950897247863,0.5268164105220422,0.4940761216406728,0.4355256751765193
C,C: Full Flux ledger,-0.7017790301719402,0.49570264892064214,1.0173384228981428,1.7700464814951697,0.7861205042491305,1.0123335135443576,0.46983000139349745,0.6042677760790448,0.880917886620169,0.5268788657826526,0.4948808362189997,0.4359493803708632
C,C: Full Flux ledger,-0.6999322432504349,0.49661895193740785,1.0136162667550321,1.766226584381251,0.7851614990829018,1.0123308944995841,0.47059472304932326,0.6052513161955013,0.8803383805636857,0.5269405395687252,0.49568633201830453,0.43637170279654763
C,C: Full Flux ledger,-0.69808545632893,0.4975369487341447,1.0099009782976798,1.7624213549648675,0.7841997925475857,1.012328067491198,0.47136018393733237,0.6062358070690106,0.8797565599015813,0.5270034973475239,0.49649260646486465,0.43679262748009895
