case,model,k,Gamma0,A_mu,G_void_k,G_collapse_k,D_today,sigma8_today,S8,f_sigma8_z0p5,f_sigma8_z1p0,gamma_z0,gamma_z0p5,Gamma_topo_z0,Gamma_topo_z1,mu_eff_z0,mu_eff_z1,delta_S8_vs_LCDM_percent
B_flux_topology_linear,flux,0.1,0.24,0.0,0.8797113999598205,0.0066928509242848554,0.7349603366845172,0.7651694089064224,0.7651694089064224,0.42314864600056695,0.39275340542239795,0.5961004689223438,0.6736772040996385,0.03692268104331552,0.16884477432753237,1.0,1.0,-5.65112097331414
C_flux_topology_halo,flux,10.0,0.24,0.25,0.00033191490682538127,0.9933071490757153,0.8532577333877792,0.8883291831044937,0.8883291831044937,0.5512503549803739,0.48527739111896356,0.4613605510931745,0.3691383453693261,1.3930918979559748e-05,6.370509412681827e-05,1.2394579734378957,1.1915663549218725,9.535041073303779
B_flux_topology_linear,flux,0.1,0.25,0.0,0.8797113999598205,0.0066928509242848554,0.7331231651110548,0.7632567240760173,0.7632567240760173,0.42120978618891236,0.39114547414434603,0.5978291506524437,0.6788394093563099,0.038461126086787,0.1758799732578462,1.0,1.0,-5.88696373908542
C_flux_topology_halo,flux,10.0,0.25,0.25,0.00033191490682538127,0.9933071490757153,0.8532568404906496,0.8883282535066165,0.8883282535066165,0.5512493716807643,0.48527661978007575,0.4613611257638746,0.3691402475494432,1.4511373937041405e-05,6.635947304876903e-05,1.2394579734378957,1.1915663549218725,9.534926449644441
B_flux_topology_linear,flux,0.1,0.26,0.0,0.8797113999598205,0.0066928509242848554,0.7312952833598082,0.761353710907359,0.761353710907359,0.41928241548254974,0.3895455442392633,0.599555687043436,0.6839985328183926,0.039999571130258475,0.18291517218816006,1.0,1.0,-6.121613944838596
C_flux_topology_halo,flux,10.0,0.26,0.25,0.00033191490682538127,0.9933071490757153,0.8532559996247304,0.8883273780785882,0.8883273780785882,0.5512484842500273,0.4852758785160925,0.46136175563704446,0.36914187901907736,1.5091828894523064e-05,6.901385197071979e-05,1.2394579734378957,1.1915663549218725,9.534818505374616
B_flux_topology_linear,flux,0.1,0.27,0.0,0.8797113999598205,0.0066928509242848554,0.7294766613721126,0.7594603381062814,0.7594603381062814,0.41736646037180675,0.38795360543497387,0.6012812649639996,0.6891546024804982,0.041538016173729965,0.18995037111847393,1.0,1.0,-6.355075449287128
C_flux_topology_halo,flux,10.0,0.27,0.25,0.00033191490682538127,0.9933071490757153,0.8532551276258655,0.8883264702379569,0.8883264702379569,0.5512475212443803,0.4852751359317938,0.4613623424091143,0.3691437403727905,1.5672283852004718e-05,7.166823089267055e-05,1.2394579734378957,1.1915663549218725,9.534706564482958
B_flux_topology_linear,flux,0.1,0.28,0.0,0.8797113999598205,0.0066928509242848554,0.7276672160723521,0.757576519182512,0.757576519182512,0.4154618602767709,0.38636960531741305,0.6030055435508775,0.694307456980551,0.04307646121720144,0.19698557004878778,1.0,1.0,-6.587358917076207
C_flux_topology_halo,flux,10.0,0.28,0.25,0.00033191490682538127,0.9933071490757153,0.8532542499112258,0.8883255564466154,0.8883255564466154,0.5512465621576685,0.485274396045487,0.46136294632674263,0.3691455904903738,1.6252738809486377e-05,7.432260981462131e-05,1.2394579734378957,1.1915663549218725,9.534593889841592
