z,elapsed_years_since_zmax,sfrd_msun_yr_mpc3,rho_star_msun_mpc3,lum_density_lsun_mpc3,lum_density_w_mpc3,fusion_chain_rate_mpc3_s,proton_processing_rate_mpc3_s,T_sink_K,entropy_rate_J_K_mpc3_s,entropy_rate_kB_mpc3_s
16.362727121186865,59109671.556745,0.001481183042966516,49768.10439640177,16589.368132133925,6.350410120980866e+30,1.48449971523032e+42,5.93799886092128e+42,47.322112768794796,1.3309519603346745e+29,9.64004580696958e+51
16.359393232205367,59178275.91832949,0.001482008064480878,49842.30446083498,16614.101486944994,6.359878049202544e+30,1.4867129796464978e+42,5.946851918585991e+42,47.31302625437572,1.333194405816913e+29,9.656287773481261e+51
16.35605934322387,59246913.21844989,0.0014828337040512331,49916.58150381062,16638.860501270206,6.369355799886235e+30,1.4889285402044654e+42,5.955714160817862e+42,47.303939739956654,1.33543977853421e+29,9.672550941870163e+51
16.352725454242375,59315583.47924758,0.0014836599622593202,49990.93561999039,16663.645206663463,6.378843385110773e+30,1.491146399727824e+42,5.964585598911296e+42,47.29485322553759,1.337688082716573e+29,9.688835342774108e+51
16.349391565260877,59384286.72288331,0.0014844868396875393,50065.36690417083,16688.45563472361,6.388340816972198e+30,1.4933665610441968e+42,5.973466244176787e+42,47.28576671111852,1.3399393226008867e+29,9.705141006880726e+51
16.34605767627938,59453022.97153677,0.0014853143369189493,50139.87545128306,16713.291817094352,6.397848107583719e+30,1.495589026985221e+42,5.982356107940883e+42,47.276680196699445,1.34219350243091e+29,9.721467964927436e+51
16.342723787297885,59521792.247406825,0.0014861424545372685,50214.46135639326,16738.15378546442,6.40736526907578e+30,1.497813800386562e+42,5.991255201546249e+42,47.267593682280385,1.3444506264572986e+29,9.737816247701614e+51
16.339389898316387,59590594.57271175,0.0014869711931268825,50289.1247147031,16763.0415715677,6.416892313596116e+30,1.500040884087928e+42,6.000163536351712e+42,47.25850716786131,1.3467106989376217e+29,9.754185886040707e+51
16.33605600933489,59659429.96968882,0.0014878005532728347,50363.86562154951,16787.955207183168,6.426429253309717e+30,1.5022702809330598e+42,6.009081123732239e+42,47.249420653442236,1.3489737241363619e+29,9.770576910832237e+51
16.33272212035339,59728298.460594624,0.001488630535560833,50438.68417240517,16812.894724135058,6.4359761003989e+30,1.5045019937697502e+42,6.018007975079001e+42,47.24033413902317,1.3512397063249365e+29,9.786989353013956e+51
16.329388231371894,59797200.06770501,0.001489461140577251,50513.58046287871,16837.860154292903,6.445532867063323e+30,1.506736025449844e+42,6.026944101799376e+42,47.231247624604094,1.3535086497817085e+29,9.803423243573917e+51
