V_ref,n,Point_MAE,Galaxy_MAE
105.0,2.75,19.885863751844056,19.067696292753443
105.0,3.0,19.90399323568128,19.0812944690373
105.0,3.25,19.922180988626554,19.095196331108035
105.0,3.5,19.940344485306124,19.10939328870565
105.0,3.75,19.958483229513135,19.12381612685586
105.0,4.0,19.976256906001346,19.138136550636617
105.0,4.25,19.9933101831491,19.15205833931423
105.0,4.5,20.009644433970678,19.165548105086334
105.0,4.75,20.025245361822538,19.178535392015384
105.0,5.0,20.040115246253027,19.191012168968445
105.0,5.25,20.05428353464769,19.202985541156647
105.0,5.5,20.067781813635026,19.214466573381245
105.0,5.75,20.08064255606105,19.225469109160212
105.0,6.0,20.09295113051832,19.23609427056
110.0,1.0,19.83890005411277,19.041370772047365
110.0,1.25,19.826668675215036,19.035648254777694
110.0,1.5,19.829294212173366,19.037996206813272
110.0,1.75,19.83945771156831,19.04512411255865
110.0,2.0,19.854283786713765,19.055836725536423
110.0,2.25,19.871835606643227,19.068621833967654
110.0,2.5,19.890970839652734,19.082889850774226
110.0,2.75,19.91101796709188,19.09797718249751
110.0,3.0,19.931334447519845,19.113541933990742
110.0,3.25,19.95166871522781,19.12956607326636
110.0,3.5,19.972286382966946,19.146115776169406
110.0,3.75,19.992874865147108,19.162848939586663
110.0,4.0,20.012704159894213,19.1791633167948
110.0,4.25,20.031664574300155,19.194880535079214
110.0,4.5,20.04975694760922,19.209982498027998
110.0,4.75,20.067004841813826,19.2244673668071
110.0,5.0,20.083431094154022,19.238338202835223
110.0,5.25,20.099048461816018,19.25159788997127
110.0,5.5,20.113889550759794,19.26426056549726
110.0,5.75,20.127988811126514,19.276343502618335
110.0,6.0,20.14138478743931,19.28786842497182
115.0,1.0,19.84985518802252,19.054068930878497
115.0,1.25,19.838815914789762,19.050519045861492
115.0,1.5,19.843009882032604,19.055253918514357
115.0,1.75,19.85543737311961,19.06503875634141
115.0,2.0,19.87261619731701,19.078342450442403
115.0,2.25,19.891905951513934,19.093431323347847
115.0,2.5,19.913245052755638,19.110163359283593
115.0,2.75,19.935271734244928,19.127629948863
115.0,3.0,19.95768483473854,19.145437836256114
115.0,3.25,19.980442978477754,19.16377668232985
115.0,3.5,20.00312791864387,19.182242143974424
115.0,3.75,20.025261500611112,19.20055260987867
115.0,4.0,20.046669453041673,19.218308869934425
115.0,4.25,20.067204710722237,19.235483192897124
115.0,4.5,20.086853916049716,19.252051023037208
115.0,4.75,20.105562019630145,19.26790007202383
115.0,5.0,20.123355519413288,19.28303551451433
115.0,5.25,20.140256181062924,19.297467190748662
115.0,5.5,20.15636883112389,19.31125930117098
115.0,5.75,20.171819157371164,19.324500305097537
115.0,6.0,20.186461671417998,19.337087066531815
120.0,1.0,19.86110121231041,19.066887720447095
120.0,1.25,19.850829852951797,19.06512257483549
120.0,1.5,19.856748568767404,19.0722392271275
120.0,1.75,19.871259739099184,19.084642157828043
120.0,2.0,19.89022132955234,19.100128162724282
120.0,2.25,19.911606740536882,19.117701676314237
120.0,2.5,19.934692634831126,19.136713050675386
120.0,2.75,19.958651848277345,19.156475364315085
120.0,3.0,19.983057379247597,19.176676995232363
120.0,3.25,20.008001715901987,19.197255078269613
120.0,3.5,20.03238643779643,19.217458442620835
120.0,3.75,20.055857074969413,19.23698527424567
120.0,4.0,20.07839716318762,19.2558447351005
120.0,4.25,20.10019269663401,19.27424564186258
120.0,4.5,20.12106977404029,19.291931155839467
120.0,4.75,20.140940382371404,19.308827745504725
120.0,5.0,20.15996138628984,19.32512381254431
120.0,5.25,20.178212472225432,19.340770548548925
120.0,5.5,20.195657314568823,19.35579098761297
120.0,5.75,20.212199368341107,19.370080648577638
120.0,6.0,20.22788610341002,19.383685067757625
125.0,1.0,19.872413442278233,19.07956602130189
125.0,1.25,19.86291074311672,19.0797877940517
125.0,1.5,19.870544123230452,19.089069395708815
125.0,1.75,19.886742051465003,19.103740831979355
125.0,2.0,19.907362755362197,19.12142214704086
125.0,2.25,19.930807233337685,19.1414300634996
125.0,2.5,19.955527382172253,19.16261449694945
125.0,2.75,19.9810670456143,19.184446963134164
125.0,3.0,20.00738512029841,19.20685227744574
125.0,3.25,20.033802388186242,19.22926671556737
125.0,3.5,20.059647195482672,19.25107951890988
125.0,3.75,20.084502769900208,19.272104385742516
125.0,4.0,20.108307564338546,19.292285086417145
125.0,4.25,20.131032648171626,19.311593548553706
125.0,4.5,20.152770451855915,19.330098057628994
125.0,4.75,20.17387019869005,19.348133704737865
125.0,5.0,20.194220497757506,19.36565215083001
125.0,5.25,20.213511343482125,19.382302495630025
125.0,5.5,20.231795006162184,19.39811832775681
125.0,5.75,20.249194245646546,19.413277643858606
125.0,6.0,20.265741895092912,19.427726862760814
130.0,1.0,19.883550605672237,19.0919891559864
130.0,1.25,19.875195540554007,19.09444100522514
130.0,1.5,19.884295895001475,19.1058203128583
