p,H0,theta_star,theta_err,theta_abs_err,theta_err_ppm,r_s_Mpc,D_M_Mpc,Omega_m0,Omega_b0,Omega_r0,Omega_flux0,q0,z_acc,accepted_theta,H0_distance_to_73,score
0.1675,72.95,0.010422347845683532,9.147845683532899e-06,9.147845683532899e-06,878.485545608737,143.51333566694515,13769.770285145676,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6592534979871214,0.7706572161570604,True,0.04999999999999716,0.29602366338286834
0.1725,73.05,0.010422654389988104,9.454389988105064e-06,9.454389988105064e-06,907.9235958307786,143.51333566713166,13769.36529767207,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6622967030646123,0.7728257687607849,True,0.04999999999999716,0.31016586752127934
0.21500000000000002,73.05,0.010403447743299401,-9.752256700598302e-06,9.752256700598302e-06,-936.5283198822939,143.5133356687306,13794.78603726961,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6782427034633933,0.7732685969259667,True,0.04999999999999716,0.32035370998359636
0.21000000000000002,72.95,0.01040308164424158,-1.0118355758419184e-05,1.0118355758419184e-05,-971.6855297525434,143.5133356685844,13795.271495155801,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6751836465187502,0.7712377184795963,True,0.04999999999999716,0.3272763737068808
0.165,72.95,0.010423511967759114,1.031196775911486e-05,1.031196775911486e-05,990.2784695496928,143.5133356668357,13768.232445142838,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6583163806154193,0.7705960754108598,True,0.04999999999999716,0.33212904504229346
0.16999999999999998,73.05,0.010423814790965411,1.0614790965412027e-05,1.0614790965412027e-05,1019.3591754131322,143.5133356670249,13767.83246296851,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6613586531883922,0.7727732453912657,True,0.04999999999999716,0.34730468896714733
0.21750000000000003,73.05,0.010402347571334711,-1.0852428665287725e-05,1.0852428665287725e-05,-1042.1799893680834,143.51333566881308,13796.244999954282,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6791806536358127,0.7732693352479788,True,0.04999999999999716,0.3566253524709293
0.21250000000000002,72.95,0.010401978176351986,-1.1221823648013135e-05,1.1221823648013135e-05,-1077.6537133650688,143.51333566866893,13796.734932104964,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6761206642701403,0.7712461776606284,True,0.04999999999999716,0.3649730048751897
0.1625,72.95,0.010424679626460114,1.1479626460114689e-05,1.1479626460114689e-05,1102.4110225593179,143.5133356667247,13766.690278179534,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6573792577090334,0.7705317851101132,True,0.04999999999999716,0.37269373521904514
0.1675,73.05,0.01042497870312811,1.1778703128110038e-05,1.1778703128110038e-05,1131.1319410085314,143.51333566691662,13766.295332944339,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6604205977728252,0.7727176248511227,True,0.04999999999999716,0.3888775594257554
0.22000000000000003,73.05,0.010401250587930892,-1.1949412069106949e-05,1.1949412069106949e-05,-1147.5254551057262,143.51333566889437,13797.700041514267,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6801185982693294,0.7732673986828386,True,0.04999999999999716,0.3966420080785461
0.21500000000000002,72.95,0.010400877918933725,-1.232208106627386e-05,1.232208106627386e-05,-1183.3135891247514,143.5133356687523,13798.19442044417,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6770576764870686,0.7712519225641883,True,0.04999999999999716,0.40643322254391095
0.16,72.95,0.010425850840213786,1.2650840213786901e-05,1.2650840213786901e-05,1214.8849742429707,143.51333566661208,13765.143762949641,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6564421292677416,0.7704643206898485,True,0.04999999999999716,0.417758077366164
0.165,73.05,0.010426146144699824,1.294614469982483e-05,1.294614469982483e-05,1243.2436426674635,143.5133356668068,13764.75388653193,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6594825368179116,0.77265888286843,True,0.04999999999999716,0.4349244181932548
0.22250000000000003,73.05,0.010400156777276622,-1.3043222723376977e-05,1.3043222723376977e-05,-1252.56623548736,143.51333566897452,13799.151180349305,0.2679758128404453,0.041920412120564764,7.833139144566862e-05,0.7319458557681091,-0.6810565373641655,0.7732628083079575,True,0.04999999999999716,0.4403708074331395
0.21750000000000003,72.95,0.01039978085600632,-1.3419143993678717e-05,1.3419143993678717e-05,-1288.666691668144,143.5133356688345,13799.64997877329,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.6779946831702013,0.7712549744953983,True,0.04999999999999716,0.45162385079363254
0.1575,72.95,0.01042702562758149,1.3825627581490543e-05,1.3825627581490543e-05,1327.70210708433,143.51333566649785,13763.592877999403,0.26871099991027303,0.042035420055893766,7.854629228146443e-05,0.7312104537974455,-0.655504995291766,0.7703936574144626,True,0.04999999999999716,0.46736281824110704
