Galaxy,N_points,T,A_T,D_spatial,D_total_v3p_T,f_gas,R_disk,M_bar,v3o_MAE,v3o_bias,v3p_T_MAE,v3p_T_bias,MAE_delta,MAE_improvement_pct
UGC06614,13,1,0.4,0.8301577590350013,0.6473820169800059,0.0447269666041156,5.1,65086104000.0,28.76337648236101,-23.35735536913398,46.02668030365037,46.02668030365037,17.263303821289362,-60.01834948645891
UGC06628,7,9,-0.4,0.6926499056619663,0.8882061571041476,0.0964233929434509,2.82,2069000000.0,7.972505686081072,7.972505686081072,4.400716284505578,-1.990228070661892,-3.5717894015754936,44.801340283913
UGC06667,9,6,-0.1,0.5833304203447282,0.6207469941276981,0.1334789733741721,5.15,806097000.0,40.05298110792145,-40.05298110792145,41.11471664472086,-41.11471664472086,1.0617355367994108,-2.6508277472246053
UGC06786,45,0,0.5,0.8396311842944411,0.6153023306394388,0.0179006001473276,3.6,37372490000.0,56.50001088202969,-56.463556030228496,8.282133885041306,4.063525803570689,-48.21787699698839,85.34135877896706
UGC06787,71,2,0.3,0.8058851612105332,0.6687644195590451,0.0134343461321658,5.37,49796990000.0,52.08100238694729,-42.921666572227345,30.886476234056612,-16.34524368229128,-21.194526152890678,40.69531149846401
UGC06818,8,9,-0.4,0.7280620446213584,0.9336162258890409,0.1530729903883384,1.39,937507000.0,15.157016238620907,-9.751336187162444,20.108643103483523,-19.698514147216585,4.951626864862616,-32.66887616208789
UGC06917,11,9,-0.4,0.727885218411591,0.933389476232441,0.0730134849944057,2.76,3685059000.0,30.838324313996452,-30.838324313996452,42.62371194866836,-42.62371194866836,11.785387634671906,-38.21669269274442
UGC06923,6,10,-0.5,0.75377112745652,1.0285833693747881,0.0693013061341739,1.44,1552597000.0,14.451321569848352,-12.750261398232148,22.265895973238326,-22.265895973238326,7.814574403389974,-54.075154065456026
UGC06930,10,7,-0.2,0.703403316582728,0.7965341711993768,0.0879238545081293,3.94,4896521000.0,29.66735691567389,-29.66735691567389,37.50239667024531,-37.50239667024531,7.835039754571422,-26.40963189555995
UGC06973,9,2,0.3,0.9938393703980436,0.8247383643108669,0.0085817035234899,1.07,27168149000.0,32.79564379089729,10.984263626503848,45.519382019898245,45.519382019898245,12.723738229000958,-38.79703752768695
UGC06983,17,6,-0.1,0.6997181253040939,0.7446001577673588,0.1296522453099295,3.21,3043611000.0,39.64016725117323,-39.64016725117323,43.49192638938935,-43.49192638938935,3.851759138216117,-9.716808493289383
UGC07089,12,8,-0.3,0.7143461958470536,0.8608128398635704,0.0826331320670514,2.26,1953962000.0,11.703089330857045,-9.785566046992544,19.19338339982542,-19.19338339982542,7.490294068968376,-64.00270780826249
UGC07125,13,9,-0.4,0.670274403199609,0.8595133659943717,0.3122536019196036,3.38,1971657000.0,7.7894017939085005,-6.717766060863397,17.237062312633164,-17.237062312633164,9.447660518724664,-121.28865307876353
UGC07151,11,6,-0.1,0.7564977924332339,0.8050218441199337,0.0669385780862926,1.25,1223928000.0,15.585617217440761,-14.713749880594863,18.552295570705805,-18.289744786663725,2.966678353265044,-19.03471843223022
UGC07232,4,10,-0.5,0.753433720012896,1.0281229488670591,0.097703535724552,0.29,62618000.0,7.615666580325008,-7.427136371248165,11.782053632399476,-11.782053632399476,4.166387052074469,-54.70810740110766
UGC07261,7,8,-0.3,0.7528083616090524,0.9071611319513165,0.1739735219167961,1.2,1061104000.0,20.70437325502788,-20.70437325502788,29.39654364893454,-29.39654364893454,8.692170393906661,-41.98229179333329
UGC07323,10,8,-0.3,0.7198450507377786,0.8674391576377832,0.0446523315691137,2.26,2150526000.0,11.278270401878384,-9.768513672604147,18.023993958355472,-18.023993958355472,6.745723556477088,-59.81168491361579
