Galaxy,MAE_v3o,MAE_v3q,T,f_gas,R_rem,D_spatial,Imp_v3q
UGC02487,127.98350409691118,44.706109828022136,0,0.0096580508557706,0.9903419491442293,0.8614454050320128,83.27739426888904
UGC02885,74.76795731073595,19.448784390479236,5,0.0257371736949881,0.48713141315250597,0.8007209043595224,55.31917292025672
UGC02916,25.559032988487175,26.615326624000165,2,0.0474946000041214,0.7620043199967029,0.8057448920929905,-1.05629363551299
UGC02953,51.99414195996499,23.537063280471685,2,0.0078083242189293,0.7937533406248566,0.9302070225314172,28.457078679493307
UGC03205,49.16062951572104,12.214732807327792,2,0.0221491032540573,0.7822807173967542,0.8867989841303133,36.94589670839325
UGC03546,36.37877532794759,34.065717248088774,1,0.0069727298695559,0.8937245431173997,0.8537531731397888,2.3130580798588127
UGC03580,23.944008593970736,26.92853012619936,1,0.0805646079057859,0.8274918528847927,0.7838823684018121,-2.984521532228623
UGC04278,22.307483492088167,14.731558660345373,7,0.1850889356650472,0.24447331930048585,0.6676069726291513,7.575924831742794
UGC04305,6.673650737817217,6.673650737817217,10,0.1995997998999499,0.0,0.707917697603552,0.0
UGC04325,35.67060227372283,28.395559719671162,9,0.0817405051243049,0.09182594948756952,0.7040155436153659,7.275042554051666
UGC04483,4.615566531248186,4.615566531248186,10,0.3956861286723688,0.0,0.7062870772507555,0.0
UGC04499,17.70420409355529,9.46917561007107,8,0.1586251761899599,0.16827496476200804,0.7020938966095236,8.235028483484221
UGC05005,21.84034021775748,21.84034021775748,10,0.1671301621170982,0.0,0.6882764960302993,0.0
UGC05253,23.636724721100826,16.41676310414314,2,0.024788298887319,0.7801693608901448,0.7902062458454971,7.219961616957686
UGC05414,9.914211293984062,9.914211293984064,10,0.1196879477989847,0.0,0.6996793764371864,-1.7763568394002505e-15
UGC05716,26.54634495846319,19.616568529395366,9,0.3310610645685344,0.06689389354314657,0.7073345790940961,6.929776429067825
UGC05721,32.21231372011014,22.74890526844625,7,0.219682229916002,0.23409533102519942,0.8261727460521043,9.463408451663888
UGC05750,14.963271848102654,11.44752270179063,8,0.0805697601157997,0.18388604797684005,0.663337886489083,3.5157491463120234
UGC05764,25.275472422089404,25.275472422089404,10,0.3377896196575203,0.0,0.6039131624487422,0.0
UGC05829,15.51865408341256,15.51865408341256,10,0.325454062704068,0.0,0.6444293495106781,0.0
UGC05918,14.965216831757814,14.965216831757818,10,0.2532099153210556,0.0,0.6130920631829622,-3.552713678800501e-15
UGC05986,37.45533645029463,28.86901656027244,9,0.1312669513964675,0.08687330486035326,0.7694771055856052,8.586319890022192
UGC05999,29.121199849910635,29.121199849910635,10,0.1371423500937822,0.0,0.6752004987282895,0.0
